Client:,TransLink,,,,,,,,,,,,,
Project:,Arbutus to UBC Modelling Phase 2,,,,,,,,,,,,,
Project #:,2121-00651-00,,,,,,,,,,,,,
Model:,RTM3.4,,,,,,,,,,,,,
Years:,"2017, 2035, 2050",,,,,,,,,,,,,
Location:,\\corp\vcr\2121-EMME\2121-00651-00 Arbutus to UBC Phase 2\RTM,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Parent Scenario,Name,Year,AM,MD,PM,Zones,Land Use,Road Network,Transit Network,Notes,By:,Date,Databank,Reference (git SHA1 ID)
3500,2035 Base Network,2035,-,-,-,RTM 1700,2035,2035,2035,2035 Base Network from RTM3.4,-,-,,d241faebfd8ab3a8392086d5a532a38a5363b3f5
3601,2035 BAU: Business As Usual,2035,34011,34012,34013,RTM 1700,2035,2035,2035,Includes 2017 base validation edits and adjustment to board penalty (7.5 mins) for rail to bus,KK,2020.10.30,UBCx_Ph2_2035BAU,c5d4b1657d1cf9e52c93ac2bcf33af0703c3e50f
3602,2035 BAU: Run 2,2035,34021,34022,34023,RTM 1700,2035,2035,2035,,KK,2020.11.27,UBCx_Ph2_2035BAU,d0a270237d68d53d3d00c76445aa1ef2ac5e7fbf
3603,2035 BAU: Run 3,2035,36031,36032,36033,RTM 1700,2035,2035,2035,,KK,2020.12.12,UBCx_Ph2_2035BAU,82a3f3f1f5b25e8d231175c4f5ca18e261467d67
3604,2035 BAU,2035,36041,36042,36043,RTM 1700,2035,2035,2035,,KK,2021.01.01,UBCx_Ph2_2035BAU_2020-12-31,f2cf0b9eddc80a12a022a6aca25317cfb602824a
3606,2035 BAU,2035,36061,36062,36063,RTM 1700,2035,2035,2035,,KK,2021.02.06,UBCx_Ph2_2035BAU_2021-02-05,281dac9f594902bc07bc9b1917060c8208201ea1
3607,2035 BAU,2035,36071,36072,36073,RTM 1700,2035,2035,2035,Changed 99 B-Line headway back to 3/3/3,KK,2021.02.13,UBCx_Ph2_2035BAU_2021-02-12,45eec103b0fe65ec3229409c29c0d4b84aee4998
3612,2035 Alt 1A,2035,36121,36122,36123,RTM 1700,2035,2035,2035,,KK,2020.12.01,UBCx_Ph2_2035Alt_1A,d0a270237d68d53d3d00c76445aa1ef2ac5e7fbf
3613,2035 Alt 1A,2035,36131,36132,36133,RTM 1700,2035,2035,2035,,KK,2020.12.12,UBCx_Ph2_2035Alt_1A,82a3f3f1f5b25e8d231175c4f5ca18e261467d67
3614,2035 Alt 1A,2035,36141,36142,36143,RTM 1700,2035,2035,2035,,KK,2021.01.02,UBCx_Ph2_2035Alt_1A_2020-12-31,4b69fd5001ed073f7d37f467a5dc5cb7d11626a4
3615,2035 Alt 1A,2035,36151,36152,36153,RTM 1700,2035,2035,2035,,KK,2021.01.16,UBCx_Ph2_2035Alt_1A_2021-01-15,6482a673abc056f3551642d687c7913fb4927434
3616,2035 Alt 1A,2035,36161,36162,36163,RTM 1700,2035,2035,2035,,KK,2021.02.08,UBCx_Ph2_2035Alt_1A_2021-02-06,e1ead018bcdfd66aa72d570a6be28bcf2cecdedd
3617,2035 Alt 1A,2035,36171,36172,36173,RTM 1700,2035,2035,2035,,KK,2021.02.14,UBCx_Ph2_2035_Alt1A_2021-02-12,215fbf7a2dffedc46e61ff008e5baa8eb62adde1
3623,2035 Alt 1B,2035,36231,36232,36233,RTM 1700,2035,2035,2035,,KK,2020.12.13,UBCx_Ph2_2035Alt_1B,82a3f3f1f5b25e8d231175c4f5ca18e261467d67
3624,2035 Alt 1B,2035,36241,36242,36243,RTM 1700,2035,2035,2035,,KK,2021.01.02,UBCx_Ph2_2035Alt_1B_2020-12-31,4b69fd5001ed073f7d37f467a5dc5cb7d11626a4
3625,2035 Alt 1B,2035,36251,36252,36253,RTM 1700,2035,2035,2035,,KK,2021.01.16,UBCx_Ph2_2035Alt_1B_2021-01-15,6482a673abc056f3551642d687c7913fb4927434
3626,2035 Alt 1B,2035,36261,36262,36263,RTM 1700,2035,2035,2035,,KK,2021.02.11,UBCx_Ph2_2035Alt_1B_2021-02-06,d1a3edea854c4669090d3ae9d4982f6af1cddf64
3627,2035 Alt 1B,2035,36271,36272,36273,RTM 1700,2035,2035,2035,,KK,2021.02.14,UBCx_Ph2_2035_Alt1B_2021-02-12,215fbf7a2dffedc46e61ff008e5baa8eb62adde1
3633,2035 Alt 1C,2035,36331,36332,36333,RTM 1700,2035,2035,2035,,KK,2020.12.14,UBCx_Ph2_2035Alt_1C,82a3f3f1f5b25e8d231175c4f5ca18e261467d67
3634,2035 Alt 1C,2035,36341,36342,36343,RTM 1700,2035,2035,2035,,KK,2021.01.02,UBCx_Ph2_2035Alt_1C_2020-12-31,4b69fd5001ed073f7d37f467a5dc5cb7d11626a4
3635,2035 Alt 1C,2035,36351,36352,36353,RTM 1700,2035,2035,2035,,KK,2021.01.16,UBCx_Ph2_2035Alt_1C_2021-01-15,6482a673abc056f3551642d687c7913fb4927434
3637,2035 Alt 1C,2035,36371,36372,36373,RTM 1700,2035,2035,2035,,KK,2021.02.15,UBCx_Ph2_2035_Alt1C_2021-02-12,215fbf7a2dffedc46e61ff008e5baa8eb62adde1
3674,2035 Alt 1D,2035,36741,36742,36743,RTM 1700,2035,2035,2035,,KK,2021.01.02,UBCx_Ph2_2035Alt_1D_2020-12-31,effa56c22db2527addfbdfc4002fd648ccaf6b58
3675,2035 Alt 1D,2035,36751,36752,36753,RTM 1700,2035,2035,2035,,KK,2021.01.16,UBCx_Ph2_2035Alt_1D_2021-01-15,6482a673abc056f3551642d687c7913fb4927434
3677,2035 Alt 1D,2035,36771,36772,36773,RTM 1700,2035,2035,2035,,KK,2021.02.15,UBCx_Ph2_2035_Alt1D_2021-02-12,215fbf7a2dffedc46e61ff008e5baa8eb62adde1
3646,2035 Alt 2A,2035,36461,36462,36463,RTM 1700,2035,2035,2035,,KK,2021.02.07,UBCx_Ph2_2035Alt_2A_2021-02-06,e1ead018bcdfd66aa72d570a6be28bcf2cecdedd
3647,2035 Alt 2A,2035,36471,36472,36473,RTM 1700,2035,2035,2035,,KK,2021.02.15,UBCx_Ph2_2035_Alt2A_2021-02-12,215fbf7a2dffedc46e61ff008e5baa8eb62adde1
3687,2035 Alt 2B,2035,36871,36872,36873,RTM 1700,2035,2035,2035,,KK,2021.02.15,UBCx_Ph2_2035Alt_2B_2021-02-12,215fbf7a2dffedc46e61ff008e5baa8eb62adde1
3657,2035 Alt 3A,2035,36571,36572,36573,RTM 1700,2035,2035,2035,,KK,2021.02.20,UBCx_Ph2_2035_Alt2B_2021-02-12,215fbf7a2dffedc46e61ff008e5baa8eb62adde1
3697,2035 Alt 3B,2035,36971,36972,36973,RTM 1700,2035,2035,2035,,KK,2021.02.20,UBCx_Ph2_2035_Alt3B_2021-02-12,215fbf7a2dffedc46e61ff008e5baa8eb62adde1
3817,2035 Alt 3C,2035,38171,38172,38173,RTM 1700,2035,2035,2035,,KK,2021.02.21,UBCx_Ph2_2035_Alt3C_2021-02-12,215fbf7a2dffedc46e61ff008e5baa8eb62adde1
3667,2035 Alt 4A,2035,36671,36672,36673,RTM 1700,2035,2035,2035,,KK,2021.02.21,UBCx_Ph2_2035_Alt4A_2021-02-12,215fbf7a2dffedc46e61ff008e5baa8eb62adde1
3827,2035 Alt 4B,2035,38271,38272,38273,RTM 1700,2035,2035,2035,,KK,2021.02.21,UBCx_Ph2_2035_Alt4B_2021-02-12,215fbf7a2dffedc46e61ff008e5baa8eb62adde1
3837,2035 Alt 4C,2035,38371,38372,38373,RTM 1700,2035,2035,2035,,KK,2021.02.22,UBCx_Ph2_2035_Alt4C_2021-02-12,215fbf7a2dffedc46e61ff008e5baa8eb62adde1
,,,,,,,,,,,,,,
1803,2017 BAU: Sc3603 + 2017 LU,2017,18031,18032,18033,RTM 1700,2017,2035,2035,,KK,2020.12.12,UBCx_Ph2_2017BAU,82a3f3f1f5b25e8d231175c4f5ca18e261467d67
1804,2017 BAU: Sc3604 + 2017 LU,2017,18041,18042,18043,RTM 1700,2017,2035,2035,,KK,2021.01.01,UBCx_Ph2_2017BAU_2020-12-31,f2cf0b9eddc80a12a022a6aca25317cfb602824a
1813,2017 Alt 1A: Sc3613 + 2017 LU,2017,18131,18132,18133,RTM 1700,2017,2035,2035,,KK,2020.12.13,UBCx_Ph2_2017Alt_1A,82a3f3f1f5b25e8d231175c4f5ca18e261467d67
1814,2017 Alt 1A: Sc3614 + 2017 LU,2017,18141,18142,18143,RTM 1700,2017,2035,2035,,KK,2021.01.03,UBCx_Ph2_2017Alt_1A_2020-12-31,4b69fd5001ed073f7d37f467a5dc5cb7d11626a4
1815,2017 Alt 1A: Sc3615 + 2017 LU,2017,18151,18152,18153,RTM 1700,2017,2035,2035,,KK,2021.01.18,UBCx_Ph2_2017Alt_1A_2021-01-15,6482a673abc056f3551642d687c7913fb4927434
1823,2017 Alt 1B: Sc3623 + 2017 LU,2017,18231,18232,18233,RTM 1700,2017,2035,2035,,KK,2020.12.13,UBCx_Ph2_2017Alt_1B,82a3f3f1f5b25e8d231175c4f5ca18e261467d67
1824,2017 Alt 1B: Sc3624 + 2017 LU,2017,18241,18242,18243,RTM 1700,2017,2035,2035,,KK,2021.01.03,UBCx_Ph2_2017Alt_1B_2020-12-31,4b69fd5001ed073f7d37f467a5dc5cb7d11626a4
1825,2017 Alt 1B: Sc3625 + 2017 LU,2017,18251,18252,18253,RTM 1700,2017,2035,2035,,KK,2021.01.18,UBCx_Ph2_2017Alt_1B_2021-01-15,6482a673abc056f3551642d687c7913fb4927434
1833,2017 Alt 1C: Sc3633 + 2017 LU,2017,18331,18332,18333,RTM 1700,2017,2035,2035,,KK,2020.12.14,UBCx_Ph2_2017Alt_1C,82a3f3f1f5b25e8d231175c4f5ca18e261467d67
1834,2017 Alt 1C: Sc3634 + 2017 LU,2017,18341,18342,18343,RTM 1700,2017,2035,2035,,KK,2021.01.03,UBCx_Ph2_2017Alt_1C_2020-12-31,4b69fd5001ed073f7d37f467a5dc5cb7d11626a4
1835,2017 Alt 1C: Sc3635 + 2017 LU,2017,18351,18352,18353,RTM 1700,2017,2035,2035,,KK,2021.01.18,UBCx_Ph2_2017Alt_1C_2021-01-15,6482a673abc056f3551642d687c7913fb4927434
1843,2017 Alt 2A: Sc3643 + 2017 LU,,,,,,,,,,,,,
1874,2017 Alt 1D: Sc3674 + 2017 LU,2017,18741,18742,18743,RTM 1700,2017,2035,2035,,KK,2021.01.03,UBCx_Ph2_2017Alt_1D_2020-12-31,effa56c22db2527addfbdfc4002fd648ccaf6b58
1875,2017 Alt 1D: Sc3675 + 2017 LU,2017,18751,18752,18753,RTM 1700,2017,2035,2035,,KK,2021.01.18,UBCx_Ph2_2017Alt_1D_2021-01-15,6482a673abc056f3551642d687c7913fb4927434
,,,,,,,,,,,,,,
5103,2050 BAU,2050,51031,51032,51033,RTM 1700,2050,2050,2050,,KK,2020.12.12,UBCx_Ph2_2050BAU,82a3f3f1f5b25e8d231175c4f5ca18e261467d67
5104,2050 BAU,2050,51041,51042,51043,RTM 1700,2050,2050,2050,,KK,2021.01.01,UBCx_Ph2_2050BAU_2020-12-31,f2cf0b9eddc80a12a022a6aca25317cfb602824a
5106,2050 BAU,2050,51061,51062,51063,RTM 1700,2050,2050,2050,,KK,2021.02.06,UBCx_Ph2_2050BAU_2021-02-05,281dac9f594902bc07bc9b1917060c8208201ea1
5107,2050 BAU,2050,51071,51072,51073,RTM 1700,2050,2050,2050,,KK,2021.02.13,UBCx_Ph2_2050BAU_2021-02-12,45eec103b0fe65ec3229409c29c0d4b84aee4998
5113,2050 Alt 1A,2050,51131,51132,51133,RTM 1700,2050,2050,2050,,KK,2020.12.12,UBCx_Ph2_2050Alt_1A,82a3f3f1f5b25e8d231175c4f5ca18e261467d67
5114,2050 Alt 1A,2050,51141,51142,51143,RTM 1700,2050,2050,2050,,KK,2021.01.03,UBCx_Ph2_2050Alt_1A_2020-12-31,4b69fd5001ed073f7d37f467a5dc5cb7d11626a4
5115,2050 Alt 1A,2050,51151,51152,51153,RTM 1700,2050,2050,2050,,KK,2021.01.17,UBCx_Ph2_2050Alt_1A_2021-01-15,6482a673abc056f3551642d687c7913fb4927434
5116,2050 Alt 1A,2050,51161,51162,51163,RTM 1700,2050,2050,2050,,KK,2021.02.08,UBCx_Ph2_2050Alt_1A_2021-02-06,e1ead018bcdfd66aa72d570a6be28bcf2cecdedd
5117,2050 Alt 1A,2050,51171,51172,51173,RTM 1700,2050,2050,2050,,KK,2021.02.16,UBCx_Ph2_2050_Alt1A_2021-02-12,215fbf7a2dffedc46e61ff008e5baa8eb62adde1
5123,2050 Alt 1B,2050,51231,51232,51233,RTM 1700,2050,2050,2050,,KK,2020.12.13,UBCx_Ph2_2050Alt_1B,82a3f3f1f5b25e8d231175c4f5ca18e261467d67
5124,2050 Alt 1B,2050,51241,51242,51243,RTM 1700,2050,2050,2050,,KK,2021.01.03,UBCx_Ph2_2050Alt_1B_2020-12-31,4b69fd5001ed073f7d37f467a5dc5cb7d11626a4
5125,2050 Alt 1B,2050,51251,51252,51253,RTM 1700,2050,2050,2050,,KK,2021.01.17,UBCx_Ph2_2050Alt_1B_2021-01-15,6482a673abc056f3551642d687c7913fb4927434
5127,2050 Alt 1B,2050,51271,51272,51273,RTM 1700,2050,2050,2050,,KK,2021.02.16,UBCx_Ph2_2050_Alt1B_2021-02-12,215fbf7a2dffedc46e61ff008e5baa8eb62adde1
5133,2050 Alt 1C,2050,51331,51332,51333,RTM 1700,2050,2050,2050,,KK,2020.12.13,UBCx_Ph2_2050Alt_1C,82a3f3f1f5b25e8d231175c4f5ca18e261467d67
5134,2050 Alt 1C,2050,51341,51342,51343,RTM 1700,2050,2050,2050,,KK,2021.01.03,UBCx_Ph2_2050Alt_1C_2020-12-31,4b69fd5001ed073f7d37f467a5dc5cb7d11626a4
5135,2050 Alt 1C,2050,51351,51352,51353,RTM 1700,2050,2050,2050,,KK,2021.01.17,UBCx_Ph2_2050Alt_1C_2021-01-15,6482a673abc056f3551642d687c7913fb4927434
5137,2050 Alt 1C,2050,51371,51372,51373,RTM 1700,2050,2050,2050,,KK,2021.02.16,UBCx_Ph2_2050_Alt1C_2021-02-12,215fbf7a2dffedc46e61ff008e5baa8eb62adde1
5174,2050 Alt 1D,2050,51741,51742,51743,RTM 1700,2050,2050,2050,,KK,2021.01.03,UBCx_Ph2_2050Alt_1D_2020-12-31,effa56c22db2527addfbdfc4002fd648ccaf6b58
5175,2050 Alt 1D,2050,51751,51752,51753,RTM 1700,2050,2050,2050,,KK,2021.01.17,UBCx_Ph2_2050Alt_1D_2021-01-15,6482a673abc056f3551642d687c7913fb4927434
5177,2050 Alt 1D,2050,51771,51772,51773,RTM 1700,2050,2050,2050,,KK,2021.02.16,UBCx_Ph2_2050_Alt1D_2021-02-12,215fbf7a2dffedc46e61ff008e5baa8eb62adde1
5146,2050 Alt 2A,2050,51461,51462,51463,RTM 1700,2050,2050,2050,,KK,2021.02.07,UBCx_Ph2_2050Alt_2A_2021-02-06,e1ead018bcdfd66aa72d570a6be28bcf2cecdedd
5147,2050 Alt 2A,2050,51471,51472,51473,RTM 1700,2050,2050,2050,,KK,2021.02.17,UBCx_Ph2_2050_Alt2A_2021-02-12,215fbf7a2dffedc46e61ff008e5baa8eb62adde1
5187,2050 Alt 2B,2050,51871,51872,51873,RTM 1700,2050,2050,2050,,KK,2021.02.17,UBCx_Ph2_2050_Alt2B_2021-02-12,215fbf7a2dffedc46e61ff008e5baa8eb62adde1
5157,2050 Alt 3A,2050,51571,51572,51573,RTM 1700,2050,2050,2050,,KK,2021.02.20,UBCx_Ph2_2050_Alt3A_2021-02-12,215fbf7a2dffedc46e61ff008e5baa8eb62adde1
5197,2050 Alt 3B,2050,51971,51972,51973,RTM 1700,2050,2050,2050,,KK,2021.02.20,UBCx_Ph2_2050_Alt3B_2021-02-12,215fbf7a2dffedc46e61ff008e5baa8eb62adde1
5317,2050 Alt 3C,2050,53171,53172,53173,RTM 1700,2050,2050,2050,,KK,2021.02.21,UBCx_Ph2_2050_Alt3C_2021-02-12,215fbf7a2dffedc46e61ff008e5baa8eb62adde1
5167,2050 Alt 4A,2050,51671,51672,51673,RTM 1700,2050,2050,2050,,KK,2021.02.21,UBCx_Ph2_2050_Alt4A_2021-02-12,215fbf7a2dffedc46e61ff008e5baa8eb62adde1
5327,2050 Alt 4B,2050,53271,53272,53273,RTM 1700,2050,2050,2050,,KK,2021.02.21,UBCx_Ph2_2050_Alt4B_2021-02-12,215fbf7a2dffedc46e61ff008e5baa8eb62adde1
5337,2050 Alt 4C,2050,53371,53372,53373,RTM 1700,2050,2050,2050,,KK,2021.02.22,UBCx_Ph2_2050_Alt4C_2021-02-12,215fbf7a2dffedc46e61ff008e5baa8eb62adde1
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3301,2035 BAU: Without R4,2035,33011,33012,33013,RTM 1700,2035,2035,2035,Headways for R4 set to 0,KK,2020.11.03,R2U_Phase2_2035BAU_ExcR4,3043146231d6a8c568c912689d86c728efbdf78b
5301,2050 BAU: Ph1 Assumptions,2050,53011,53012,53013,RTM 1700,2050,2050,2050,Set 99 B-Line headways to 3/3/3 and changed board penalty from 0.75 to 1.0,KK,2021.01.28,UBCx_Ph2_2050BAU_Ph1Assumption,8b680946f14d4027259f157a8e49a01414b51d6d
