PurposeNumber,Purpose,"(HH size, income, cars)",HHSize,Income,Cars,GY1,GY2,GY3,GY4,GY5,GY6,GY7,GY8,GY9,GY10,GY11,GY12,GY13,GY14
3,HBUL,10101,1,1,1,0.002968874,0.085663517,0.095687808,0.119594565,0.09965097,0.072264888,0.076451619,0.100293725,0.08817814,0.010485815,0.011184406,0.070649589,0.010790201,0.003176747
3,HBUL,20101,2,1,1,0.049481238,0.228436045,0.260311994,0.353999911,0.265735921,0.192706367,0.203870983,0.267449934,0.235141706,0.027088357,0.028893049,0.188398904,0.027874685,0.052945776
3,HBUL,30101,3,1,1,0.219696696,0.526218748,0.58544476,0.707999822,0.612141675,0.44391288,0.469631372,0.616090026,0.541665715,0.200104311,0.213435752,0.433990333,0.205912999,0.235079246
3,HBUL,40101,4,1,1,0.403766901,0.489505812,0.666727952,0.872561943,0.569434116,0.412942214,0.436866392,0.573107001,0.503875084,0.257776296,0.274949986,0.403711938,0.265259104,0.432037533
3,HBUM,10201,1,2,1,0.002968874,0.017336664,0.022635826,0.035399991,0.020167458,0.014625037,0.015472351,0.02029754,0.017845576,0.010485815,0.011184406,0.014298131,0.010790201,0.003176747
3,HBUM,20201,2,2,1,0.049481238,0.123396257,0.134786052,0.168389147,0.14354485,0.10409585,0.110126736,0.144470723,0.127018511,0.027088357,0.028893049,0.101769051,0.027874685,0.052945776
3,HBUM,30201,3,2,1,0.219696696,0.265148981,0.287063424,0.326253972,0.308443479,0.223677033,0.236635962,0.310432959,0.272932337,0.200104311,0.213435752,0.2186773,0.205912999,0.235079246
3,HBUM,40201,4,2,1,0.403766901,0.384466023,0.417733871,0.649637675,0.447243045,0.324331698,0.343122146,0.45012779,0.395751889,0.257776296,0.274949986,0.317082085,0.265259104,0.432037533
3,HBUH,10301,1,3,1,0.002968874,0.003059411,0.007202308,0.016264861,0.003558963,0.002580889,0.002730415,0.003581919,0.003149219,0.010485815,0.011184406,0.0025232,0.010790201,0.003176747
3,HBUH,20301,2,3,1,0.049481238,0.039772347,0.040127145,0.0440108,0.046266522,0.033551555,0.035495394,0.046564944,0.040939851,0.027088357,0.028893049,0.032801595,0.027874685,0.052945776
3,HBUH,30301,3,3,1,0.219696696,0.097901162,0.093630006,0.235362103,0.113886823,0.082588443,0.087373278,0.1146214,0.100775017,0.200104311,0.213435752,0.080742388,0.205912999,0.235079246
3,HBUH,40301,4,3,1,0.403766901,0.222317223,0.25722529,0.418102598,0.258617994,0.187544589,0.198410153,0.260286096,0.228843267,0.257776296,0.274949986,0.183352505,0.265259104,0.432037533
3,HBUL,10102,1,1,2,0.002968874,0.085663517,0.095687808,0.119594565,0.09965097,0.072264888,0.076451619,0.100293725,0.08817814,0.010485815,0.011184406,0.070649589,0.010790201,0.003176747
3,HBUL,20102,2,1,2,0.049481238,0.081584302,0.077167587,0.353999911,0.094905686,0.068823702,0.072811065,0.095517834,0.083979181,0.027088357,0.028893049,0.067285323,0.027874685,0.052945776
3,HBUL,30102,3,1,2,0.219696696,0.444634446,0.468150028,0.707999822,0.517235989,0.375089178,0.396820306,0.520572193,0.457686534,0.200104311,0.213435752,0.36670501,0.205912999,0.235079246
3,HBUL,40102,4,1,2,0.403766901,0.826041057,0.790196091,0.872561943,0.960920071,0.696839987,0.737212037,0.967118064,0.850289204,0.257776296,0.274949986,0.681263895,0.265259104,0.432037533
3,HBUM,10202,1,2,2,0.002968874,0.017336664,0.022635826,0.035399991,0.020167458,0.014625037,0.015472351,0.02029754,0.017845576,0.010485815,0.011184406,0.014298131,0.010790201,0.003176747
3,HBUM,20202,2,2,2,0.049481238,0.056089208,0.06173407,0.102372947,0.065247659,0.047316295,0.050057607,0.065668511,0.057735687,0.027088357,0.028893049,0.04625866,0.027874685,0.052945776
3,HBUM,30202,3,2,2,0.219696696,0.309000544,0.317930458,0.326253972,0.359455286,0.260669773,0.27577191,0.361773794,0.318071147,0.200104311,0.213435752,0.254843161,0.205912999,0.235079246
3,HBUM,40202,4,2,2,0.403766901,0.599644619,0.556635528,0.649637675,0.697556792,0.505854213,0.535161331,0.702056076,0.617246978,0.257776296,0.274949986,0.494547124,0.265259104,0.432037533
3,HBUH,10302,1,3,2,0.002968874,0.003059411,0.007202308,0.016264861,0.003558963,0.002580889,0.002730415,0.003581919,0.003149219,0.010485815,0.011184406,0.0025232,0.010790201,0.003176747
3,HBUH,20302,2,3,2,0.049481238,0.015297057,0.023664727,0.0220054,0.017794816,0.012904444,0.013652075,0.017909594,0.015746096,0.027088357,0.028893049,0.012615998,0.027874685,0.052945776
3,HBUH,30302,3,3,2,0.219696696,0.255970747,0.263398697,0.235362103,0.29776659,0.215934366,0.228444718,0.299687203,0.263484679,0.200104311,0.213435752,0.211107701,0.205912999,0.235079246
3,HBUH,40302,4,3,2,0.403766901,0.497664242,0.459918819,0.418102598,0.578924685,0.419824585,0.444147499,0.582658784,0.512273002,0.257776296,0.274949986,0.41044047,0.265259104,0.432037533
3,HBUL,10103,1,1,3,0.002968874,0.085663517,0.095687808,0.119594565,0.09965097,0.072264888,0.076451619,0.100293725,0.08817814,0.010485815,0.011184406,0.070649589,0.010790201,0.003176747
3,HBUL,20103,2,1,3,0.049481238,0.081584302,0.077167587,0.353999911,0.094905686,0.068823702,0.072811065,0.095517834,0.083979181,0.027088357,0.028893049,0.067285323,0.027874685,0.052945776
3,HBUL,30103,3,1,3,0.219696696,0.444634446,0.468150028,0.707999822,0.517235989,0.375089178,0.396820306,0.520572193,0.457686534,0.200104311,0.213435752,0.36670501,0.205912999,0.235079246
3,HBUL,40103,4,1,3,0.403766901,0.826041057,0.790196091,0.872561943,0.960920071,0.696839987,0.737212037,0.967118064,0.850289204,0.257776296,0.274949986,0.681263895,0.265259104,0.432037533
3,HBUM,10203,1,2,3,0.002968874,0.017336664,0.022635826,0.035399991,0.020167458,0.014625037,0.015472351,0.02029754,0.017845576,0.010485815,0.011184406,0.014298131,0.010790201,0.003176747
3,HBUM,20203,2,2,3,0.049481238,0.056089208,0.06173407,0.102372947,0.065247659,0.047316295,0.050057607,0.065668511,0.057735687,0.027088357,0.028893049,0.04625866,0.027874685,0.052945776
3,HBUM,30203,3,2,3,0.219696696,0.309000544,0.317930458,0.326253972,0.359455286,0.260669773,0.27577191,0.361773794,0.318071147,0.200104311,0.213435752,0.254843161,0.205912999,0.235079246
3,HBUM,40203,4,2,3,0.403766901,0.599644619,0.556635528,0.649637675,0.697556792,0.505854213,0.535161331,0.702056076,0.617246978,0.257776296,0.274949986,0.494547124,0.265259104,0.432037533
3,HBUH,10303,1,3,3,0.002968874,0.003059411,0.007202308,0.016264861,0.003558963,0.002580889,0.002730415,0.003581919,0.003149219,0.010485815,0.011184406,0.0025232,0.010790201,0.003176747
3,HBUH,20303,2,3,3,0.049481238,0.015297057,0.023664727,0.0220054,0.017794816,0.012904444,0.013652075,0.017909594,0.015746096,0.027088357,0.028893049,0.012615998,0.027874685,0.052945776
3,HBUH,30303,3,3,3,0.219696696,0.255970747,0.263398697,0.235362103,0.29776659,0.215934366,0.228444718,0.299687203,0.263484679,0.200104311,0.213435752,0.211107701,0.205912999,0.235079246
3,HBUH,40303,4,3,3,0.403766901,0.497664242,0.459918819,0.418102598,0.578924685,0.419824585,0.444147499,0.582658784,0.512273002,0.257776296,0.274949986,0.41044047,0.265259104,0.432037533
4,HBSCHOOLL,10100,1,1,0,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLL,20100,2,1,0,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLL,30100,3,1,0,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLL,40100,4,1,0,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLM,10200,1,2,0,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLM,20200,2,2,0,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLM,30200,3,2,0,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLM,40200,4,2,0,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLH,10300,1,3,0,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLH,20300,2,3,0,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLH,30300,3,3,0,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLH,40300,4,3,0,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLL,10101,1,1,1,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLL,20101,2,1,1,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLL,30101,3,1,1,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLL,40101,4,1,1,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLM,10201,1,2,1,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLM,20201,2,2,1,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLM,30201,3,2,1,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLM,40201,4,2,1,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLH,10301,1,3,1,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLH,20301,2,3,1,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLH,30301,3,3,1,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLH,40301,4,3,1,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLL,10102,1,1,2,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLL,20102,2,1,2,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLL,30102,3,1,2,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLL,40102,4,1,2,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLM,10202,1,2,2,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLM,20202,2,2,2,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLM,30202,3,2,2,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLM,40202,4,2,2,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLH,10302,1,3,2,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLH,20302,2,3,2,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLH,30302,3,3,2,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLH,40302,4,3,2,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLL,10103,1,1,3,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLL,20103,2,1,3,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLL,30103,3,1,3,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLL,40103,4,1,3,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLM,10203,1,2,3,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLM,20203,2,2,3,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLM,30203,3,2,3,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLM,40203,4,2,3,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLH,10303,1,3,3,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLH,20303,2,3,3,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLH,30303,3,3,3,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
4,HBSCHOOLH,40303,4,3,3,1.169177646,1.002021525,0.408346105,0.929698679,0.897082579,0.986549509,0.884346884,1.027349067,1.134709005,0.897286312,1.018700311,1.112198608,1.254332875,1.236429852
5,HBSHOPL,10100,1,1,0,0.880467617,1.021676149,0.858345211,0.740450338,0.861518989,0.889211051,0.857039607,1.0009923,0.901148445,1.179208515,0.846965729,1.069924803,0.921281771,1.074825106
5,HBSHOPL,20100,2,1,0,0.880467617,1.021676149,0.858345211,0.740450338,0.861518989,0.889211051,0.857039607,1.0009923,0.901148445,1.179208515,0.846965729,1.069924803,0.921281771,1.074825106
5,HBSHOPL,30100,3,1,0,0.880467617,1.021676149,0.858345211,0.740450338,0.861518989,0.889211051,0.857039607,1.0009923,0.901148445,1.179208515,0.846965729,1.069924803,0.921281771,1.074825106
5,HBSHOPL,40100,4,1,0,0.880467617,1.021676149,0.858345211,0.740450338,0.861518989,0.889211051,0.857039607,1.0009923,0.901148445,1.179208515,0.846965729,1.069924803,0.921281771,1.074825106
5,HBSHOPM,10200,1,2,0,0.920488873,1.151889776,1.147787201,1.480900676,1.121978219,0.969140135,0.956695375,1.071769534,1.1915185,1.35908778,0.956573059,1.179917072,0.980719304,1.235546617
5,HBSHOPM,20200,2,2,0,0.920488873,1.151889776,1.147787201,1.480900676,1.121978219,0.969140135,0.956695375,1.071769534,1.1915185,1.35908778,0.956573059,1.179917072,0.980719304,1.235546617
5,HBSHOPM,30200,3,2,0,0.920488873,1.151889776,1.147787201,1.480900676,1.121978219,0.969140135,0.956695375,1.071769534,1.1915185,1.35908778,0.956573059,1.179917072,0.980719304,1.235546617
5,HBSHOPM,40200,4,2,0,0.920488873,1.151889776,1.147787201,1.480900676,1.121978219,0.969140135,0.956695375,1.071769534,1.1915185,1.35908778,0.956573059,1.179917072,0.980719304,1.235546617
5,HBSHOPH,10300,1,3,0,0.890472931,1.031692582,0.968133552,0.840511194,0.90158964,0.899202187,0.827142876,1.041436434,0.770982559,1.019315835,0.807108519,0.949933236,0.851937981,1.004509444
5,HBSHOPH,20300,2,3,0,0.890472931,1.031692582,0.968133552,0.840511194,0.90158964,0.899202187,0.827142876,1.041436434,0.770982559,1.019315835,0.807108519,0.949933236,0.851937981,1.004509444
5,HBSHOPH,30300,3,3,0,0.890472931,1.031692582,0.968133552,0.840511194,0.90158964,0.899202187,0.827142876,1.041436434,0.770982559,1.019315835,0.807108519,0.949933236,0.851937981,1.004509444
5,HBSHOPH,40300,4,3,0,0.890472931,1.031692582,0.968133552,0.840511194,0.90158964,0.899202187,0.827142876,1.041436434,0.770982559,1.019315835,0.807108519,0.949933236,0.851937981,1.004509444
5,HBSHOPL,10101,1,1,1,0.880467617,1.021676149,0.858345211,0.740450338,0.861518989,0.889211051,0.857039607,1.0009923,0.901148445,1.179208515,0.846965729,1.069924803,0.921281771,1.074825106
5,HBSHOPL,20101,2,1,1,0.880467617,1.021676149,0.858345211,0.740450338,0.861518989,0.889211051,0.857039607,1.0009923,0.901148445,1.179208515,0.846965729,1.069924803,0.921281771,1.074825106
5,HBSHOPL,30101,3,1,1,0.880467617,1.021676149,0.858345211,0.740450338,0.861518989,0.889211051,0.857039607,1.0009923,0.901148445,1.179208515,0.846965729,1.069924803,0.921281771,1.074825106
5,HBSHOPL,40101,4,1,1,0.880467617,1.021676149,0.858345211,0.740450338,0.861518989,0.889211051,0.857039607,1.0009923,0.901148445,1.179208515,0.846965729,1.069924803,0.921281771,1.074825106
5,HBSHOPM,10201,1,2,1,0.920488873,1.151889776,1.147787201,1.480900676,1.121978219,0.969140135,0.956695375,1.071769534,1.1915185,1.35908778,0.956573059,1.179917072,0.980719304,1.235546617
5,HBSHOPM,20201,2,2,1,0.920488873,1.151889776,1.147787201,1.480900676,1.121978219,0.969140135,0.956695375,1.071769534,1.1915185,1.35908778,0.956573059,1.179917072,0.980719304,1.235546617
5,HBSHOPM,30201,3,2,1,0.920488873,1.151889776,1.147787201,1.480900676,1.121978219,0.969140135,0.956695375,1.071769534,1.1915185,1.35908778,0.956573059,1.179917072,0.980719304,1.235546617
5,HBSHOPM,40201,4,2,1,0.920488873,1.151889776,1.147787201,1.480900676,1.121978219,0.969140135,0.956695375,1.071769534,1.1915185,1.35908778,0.956573059,1.179917072,0.980719304,1.235546617
5,HBSHOPH,10301,1,3,1,0.890472931,1.031692582,0.968133552,0.840511194,0.90158964,0.899202187,0.827142876,1.041436434,0.770982559,1.019315835,0.807108519,0.949933236,0.851937981,1.004509444
5,HBSHOPH,20301,2,3,1,0.890472931,1.031692582,0.968133552,0.840511194,0.90158964,0.899202187,0.827142876,1.041436434,0.770982559,1.019315835,0.807108519,0.949933236,0.851937981,1.004509444
5,HBSHOPH,30301,3,3,1,0.890472931,1.031692582,0.968133552,0.840511194,0.90158964,0.899202187,0.827142876,1.041436434,0.770982559,1.019315835,0.807108519,0.949933236,0.851937981,1.004509444
